"job_id","job_title","job_location","salary_year_avg","company_name"
226942,"Data Analyst","Anywhere","650000.0","Mantys"
209315,"Data base administrator","Belarus","400000.0","ЛАНИТ"
641501,"Head of Infrastructure Management & Data Analytics - Financial...","Jacksonville, FL","375000.0","Citigroup, Inc"
1147675,"Sr Data Analyst","Bethesda, MD","375000.0","Illuminate Mission Solutions"
1110602,"HC Data Analyst , Senior","Bethesda, MD","375000.0","Illuminate Mission Solutions"
229253,"Director of Safety Data Analysis","Austin, TX","375000.0","Torc Robotics"
1059665,"Data Analyst","San Francisco, CA","350000.0","Anthropic"
101757,"Head of Data Analytics","Austin, TX","350000.0","Care.com"
547382,"Director of Analytics","Anywhere","336500.0","Meta"
894135,"Research Scientist","San Francisco, CA","285000.0","OpenAI"
